epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.93546,0.70832,0.88095,1,0.42866,0.0001667,0.0001667,0.0001667
2,13.6695,0.42112,0.95238,1,0.19756,0.000332742,0.000332742,0.000332742
3,20.3638,0.26186,1,1,0.06456,0.000480629,0.000480629,0.000480629
4,26.7552,0.22295,0.97619,1,0.05462,0.000610364,0.000610364,0.000610364
5,33.1285,0.2219,0.92857,1,0.16044,0.000721944,0.000721944,0.000721944
6,39.2631,0.12064,0.95238,1,0.0634,0.000815371,0.000815371,0.000815371
7,45.337,0.20014,1,1,0.0004,0.000890645,0.000890645,0.000890645
8,51.4018,0.16745,1,1,0.00802,0.000947765,0.000947765,0.000947765
9,57.4986,0.23036,1,1,0.01473,0.000986731,0.000986731,0.000986731
10,63.6088,0.17313,1,1,0.00299,0.000924352,0.000924352,0.000924352
11,69.6295,0.17795,0.97619,1,0.01773,0.000841835,0.000841835,0.000841835
12,75.6043,0.16744,0.97619,1,0.06459,0.000759318,0.000759318,0.000759318
13,81.6377,0.18674,0.97619,1,0.074,0.000676802,0.000676802,0.000676802
